method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,textworld,noisy,success_rate,0.9206666666666666,0.6473333333333333,0.2733333333333333,0.25133333333333335,0.29733333333333334,0.0,True,,mcnemar
r2v,llm_only,textworld,noisy,success_rate,0.9206666666666666,1.0,-0.07933333333333337,-0.09333333333333334,-0.06466666666666666,0.0,True,,mcnemar
r2v,entropy_router,textworld,noisy,success_rate,0.9206666666666666,0.6813333333333333,0.2393333333333333,0.21798333333333333,0.264,0.0,True,,mcnemar
