method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,textworld,noisy,success_rate,0.8933333333333333,0.644,0.2493333333333333,0.22798333333333334,0.2693333333333333,0.0,True,,mcnemar
r2v,llm_only,textworld,noisy,success_rate,0.8933333333333333,1.0,-0.10666666666666669,-0.12266666666666666,-0.09133333333333334,0.0,True,,mcnemar
r2v,entropy_router,textworld,noisy,success_rate,0.8933333333333333,0.644,0.2493333333333333,0.22798333333333334,0.2693333333333333,0.0,True,,mcnemar
